Date,Description
25-Aug-25,"Introduction, 1.1"
27-Aug-25,1.3-1.4
1-Sep-25,Labor Day
3-Sep-25,1.4
8-Sep-25,1.6
10-Sep-25,1.6-1.7
15-Sep-25,1.8
17-Sep-25,Quiz 1.1-1.8
22-Sep-25,"Test 1, Chapter 1"
24-Sep-25,2.3-2.4
29-Sep-25,2.5-2.6
1-Oct-25,2.6-2.7
6-Oct-25,2.8
8-Oct-25,Quiz 2.1-2.8
13-Oct-25,"Test 2, Chapter 2"
15-Oct-25,3.1-3.2
20-Oct-25,3.2-3.3
22-Oct-25,3.4
27-Oct-25,3.5
29-Oct-25,Quiz 3.1-3.5
3-Nov-25,"Test 3, Chapter 3"
5-Nov-25,4.1-4.2
10-Nov-25,4.3-4.4
12-Nov-25,"Log Graphing, 4.5"
17-Nov-25,4.6
19-Nov-25,5.1
24-Nov-25,Quiz
26-Nov-25,Thanksgiving
1-Dec-25,Test (Ch. 4-5 Review)
8-Dec-25,Final Exam (9:00-10:50)
